name,cluster
dance_data_128_corrected,0
dance_data_123_corrected,0
dance_data_105_corrected,0
dance_data_176_corrected,0
dance_data_126_corrected,0
dance_data_21_corrected,0
dance_data_179_corrected,0
dance_data_68_corrected,0
dance_data_10_corrected,0
dance_data_172_corrected,0
dance_data_163_corrected,0
dance_data_111_corrected,0
dance_data_117_corrected,0
dance_data_152_corrected,0
dance_data_23_corrected,0
dance_data_125_corrected,0
dance_data_185_corrected,0
dance_data_142_corrected,0
dance_data_181_corrected,0
dance_data_182_corrected,0
dance_data_116_corrected,0
dance_data_121_corrected,0
dance_data_180_corrected,0
dance_data_106_corrected,0
dance_data_165_corrected,0
dance_data_167_corrected,0
dance_data_60_corrected,0
dance_data_153_corrected,0
dance_data_66_corrected,0
dance_data_113_corrected,0
dance_data_103_corrected,0
dance_data_208_corrected,0
dance_data_22_corrected,0
dance_data_17_corrected,0
dance_data_190_corrected,1
dance_data_69_corrected,1
dance_data_154_corrected,1
dance_data_188_corrected,1
dance_data_210_corrected,1
dance_data_177_corrected,1
dance_data_191_corrected,1
dance_data_110_corrected,1
dance_data_134_corrected,1
dance_data_189_corrected,1
dance_data_131_corrected,1
dance_data_133_corrected,1
dance_data_14_corrected,1
dance_data_109_corrected,1
dance_data_102_corrected,1
dance_data_27_corrected,1
dance_data_211_corrected,1
dance_data_192_corrected,1
dance_data_132_corrected,1
dance_data_159_corrected,1
dance_data_135_corrected,1
dance_data_9_corrected,1
dance_data_19_corrected,2
dance_data_199_corrected,2
dance_data_197_corrected,2
dance_data_11_corrected,2
dance_data_83_corrected,2
dance_data_120_corrected,2
dance_data_140_corrected,2
dance_data_166_corrected,2
dance_data_207_corrected,2
dance_data_206_corrected,2
dance_data_87_corrected,2
dance_data_88_corrected,2
dance_data_155_corrected,2
dance_data_196_corrected,2
dance_data_32_corrected,2
dance_data_169_corrected,2
dance_data_161_corrected,2
dance_data_194_corrected,2
dance_data_212_corrected,2
dance_data_46_corrected,2
dance_data_150_corrected,2
dance_data_38_corrected,2
dance_data_195_corrected,2
dance_data_160_corrected,2
dance_data_36_corrected,2
dance_data_84_corrected,2
dance_data_137_corrected,2
dance_data_85_corrected,2
dance_data_139_corrected,2
dance_data_198_corrected,2
dance_data_95_corrected,2
dance_data_76_corrected,3
dance_data_215_corrected,3
dance_data_51_corrected,3
dance_data_2_corrected,3
dance_data_77_corrected,3
dance_data_1_corrected,3
dance_data_130_corrected,3
dance_data_55_corrected,3
dance_data_65_corrected,3
dance_data_24_corrected,3
dance_data_61_corrected,3
dance_data_50_corrected,3
dance_data_75_corrected,3
dance_data_168_corrected,3
dance_data_20_corrected,3
dance_data_7_corrected,3
dance_data_3_corrected,3
dance_data_57_corrected,3
dance_data_16_corrected,3
dance_data_12_corrected,3
dance_data_13_corrected,3
dance_data_62_corrected,3
dance_data_74_corrected,3
dance_data_56_corrected,3
dance_data_63_corrected,3
dance_data_8_corrected,3
dance_data_79_corrected,3
dance_data_64_corrected,3
dance_data_80_corrected,3
dance_data_15_corrected,3
dance_data_5_corrected,3
dance_data_158_corrected,3
dance_data_81_corrected,3
dance_data_4_corrected,3
dance_data_53_corrected,3
dance_data_78_corrected,3
dance_data_73_corrected,3
dance_data_54_corrected,3
dance_data_58_corrected,3
dance_data_82_corrected,3
dance_data_52_corrected,3
dance_data_59_corrected,4
dance_data_164_corrected,4
dance_data_151_corrected,4
dance_data_40_corrected,4
dance_data_89_corrected,4
dance_data_33_corrected,4
dance_data_175_corrected,4
dance_data_138_corrected,4
dance_data_31_corrected,4
dance_data_115_corrected,4
dance_data_96_corrected,4
dance_data_30_corrected,4
dance_data_94_corrected,4
dance_data_44_corrected,4
dance_data_47_corrected,4
dance_data_86_corrected,4
dance_data_209_corrected,5
dance_data_127_corrected,5
dance_data_173_corrected,5
dance_data_156_corrected,5
dance_data_186_corrected,5
dance_data_184_corrected,5
dance_data_183_corrected,5
dance_data_70_corrected,5
dance_data_45_corrected,5
dance_data_101_corrected,5
dance_data_93_corrected,5
dance_data_71_corrected,5
dance_data_90_corrected,5
dance_data_41_corrected,5
dance_data_171_corrected,5
dance_data_178_corrected,5
dance_data_122_corrected,5
dance_data_37_corrected,5
dance_data_108_corrected,5
dance_data_112_corrected,5
dance_data_104_corrected,5
dance_data_170_corrected,5
dance_data_114_corrected,5
dance_data_124_corrected,5
dance_data_6_corrected,5
dance_data_97_corrected,5
dance_data_162_corrected,5
dance_data_174_corrected,5
dance_data_203_corrected,6
dance_data_72_corrected,6
dance_data_144_corrected,6
dance_data_205_corrected,6
dance_data_67_corrected,6
dance_data_136_corrected,6
dance_data_187_corrected,6
dance_data_204_corrected,6
dance_data_213_corrected,6
dance_data_18_corrected,6
dance_data_157_corrected,6
dance_data_193_corrected,6
dance_data_202_corrected,6
dance_data_148_corrected,6
dance_data_214_corrected,6
dance_data_145_corrected,6
dance_data_119_corrected,6
dance_data_201_corrected,6
dance_data_143_corrected,6
dance_data_146_corrected,6
dance_data_200_corrected,6
dance_data_147_corrected,6
dance_data_107_corrected,7
dance_data_92_corrected,7
dance_data_28_corrected,7
dance_data_39_corrected,7
dance_data_29_corrected,7
dance_data_26_corrected,7
dance_data_91_corrected,7
dance_data_149_corrected,7
dance_data_43_corrected,7
dance_data_42_corrected,7
